WY	date	CoalCreek reg
2007	10/1/2006	0.245
2007	10/2/2006	0.224
2007	10/3/2006	0.296
2007	10/4/2006	0.318
2007	10/5/2006	0.296
2007	10/6/2006	0.318
2007	10/7/2006	0.549
2007	10/8/2006	0.428
2007	10/9/2006	0.241
2007	10/10/2006	0.470
2007	10/11/2006	0.400
2007	10/12/2006	0.372
2007	10/13/2006	0.428
2007	10/14/2006	0.428
2007	10/15/2006	0.599
2007	10/16/2006	0.514
2007	10/17/2006	0.524
2007	10/18/2006	0.480
2007	10/19/2006	0.414
2007	10/20/2006	0.400
2007	10/21/2006	0.386
2007	10/22/2006	0.350
2007	10/23/2006	0.323
2007	10/24/2006	0.318
2007	10/25/2006	0.314
2007	10/26/2006	0.296
2007	10/27/2006	0.270
2007	10/28/2006	0.270
2007	10/29/2006	0.262
2007	10/30/2006	0.262
2007	10/31/2006	0.249
2007	11/1/2006	0.236
2007	11/2/2006	0.220
2007	11/3/2006	0.228
2007	11/4/2006	0.228
2007	11/5/2006	0.220
2007	11/6/2006	0.215
2007	11/7/2006	0.215
2007	11/8/2006	0.220
2007	11/9/2006	0.224
2007	11/10/2006	0.215
2007	11/11/2006	0.191
2007	11/12/2006	0.211
2007	11/13/2006	0.174
2007	11/14/2006	0.182
2007	11/15/2006	0.158
2007	11/16/2006	0.191
2007	11/17/2006	0.191
2007	11/18/2006	0.178
2007	11/19/2006	0.166
2007	11/20/2006	0.166
2007	11/21/2006	0.162
2007	11/22/2006	0.162
2007	11/23/2006	0.158
2007	11/24/2006	0.158
2007	11/25/2006	0.162
2007	11/26/2006	0.162
2007	11/27/2006	0.154
2007	11/28/2006	0.150
2007	11/29/2006	0.138
2007	11/30/2006	0.100
2007	12/1/2006	0.146
2007	12/2/2006	0.138
2007	12/3/2006	0.058
2007	12/4/2006	0.069
2007	12/5/2006	0.100
2007	12/6/2006	0.103
2007	12/7/2006	0.100
2007	12/8/2006	0.111
2007	12/9/2006	0.123
2007	12/10/2006	0.134
2007	12/11/2006	0.158
2007	12/12/2006	0.142
2007	12/13/2006	0.134
2007	12/14/2006	0.131
2007	12/15/2006	0.123
2007	12/16/2006	0.111
2007	12/17/2006	0.107
2007	12/18/2006	0.103
2007	12/19/2006	0.103
2007	12/20/2006	0.103
2007	12/21/2006	0.084
2007	12/22/2006	0.065
2007	12/23/2006	0.065
2007	12/24/2006	0.065
2007	12/25/2006	0.065
2007	12/26/2006	0.088
2007	12/27/2006	0.100
2007	12/28/2006	0.096
2007	12/29/2006	0.088
2007	12/30/2006	0.088
2007	12/31/2006	0.080
2007	1/1/2007	0.096
2007	1/2/2007	0.092
2007	1/3/2007	0.107
2007	1/4/2007	0.134
2007	1/5/2007	0.127
2007	1/6/2007	0.096
2007	1/7/2007	0.100
2007	1/8/2007	0.100
2007	1/9/2007	0.107
2007	1/10/2007	0.115
2007	1/11/2007	0.119
2007	1/12/2007	0.123
2007	1/13/2007	0.123
2007	1/14/2007	0.107
2007	1/15/2007	0.058
2007	1/16/2007	0.058
2007	1/17/2007	0.069
2007	1/18/2007	0.077
2007	1/19/2007	0.080
2007	1/20/2007	0.092
2007	1/21/2007	0.096
2007	1/22/2007	0.092
2007	1/23/2007	0.088
2007	1/24/2007	0.092
2007	1/25/2007	0.096
2007	1/26/2007	0.096
2007	1/27/2007	0.100
2007	1/28/2007	0.096
2007	1/29/2007	0.092
2007	1/30/2007	0.100
2007	1/31/2007	0.103
2007	2/1/2007	0.088
2007	2/2/2007	0.092
2007	2/3/2007	0.111
2007	2/4/2007	0.103
2007	2/5/2007	0.111
2007	2/6/2007	0.115
2007	2/7/2007	0.119
2007	2/8/2007	0.119
2007	2/9/2007	0.123
2007	2/10/2007	0.127
2007	2/11/2007	0.134
2007	2/12/2007	0.134
2007	2/13/2007	0.131
2007	2/14/2007	0.127
2007	2/15/2007	0.119
2007	2/16/2007	0.119
2007	2/17/2007	0.115
2007	2/18/2007	0.111
2007	2/19/2007	0.123
2007	2/20/2007	0.123
2007	2/21/2007	0.115
